code_article,libelle,region,site,agence,famille,sous_famille,sous_famille_base,quantite,CA
ART21860,Cheneau Eco,Est,Site Est 2,Site Est 2-Ag4,Couverture,Étanchéité,Étanchéité,,67.32
ART94741,Gamme Plus,Est,Site Est 2,Site Est 2-Ag2,Outillage,Manuel,Manuel,,
ART90677,Gamme Plus,,Site Île-de-France 3,Site Île-de-France 3-Ag4,Menuiserie,Volets,Volets,572.0,42479.96
ART74077,Set Expert,Nord,Site Nord 3,Site Nord 3-Ag3,Outillage,,Électroportatif,,2302.43
ART48391,Cheneau Eco,Sud,Site Sud 1,Site Sud 1-Ag2,,Manuel,Manuel,606.0,
ART28779,Bloc Confort,Nord,Site Nord 3,Site Nord 3-Ag4,,Tuiles,Tuiles,681.0,8681.22
ART81724,Gamme Plus,,Site Sud 3,Site Sud 3-Ag3,Plâtre,Plaques,Plaques,21.0,453.72
ART34666,Ligne Basic,Nord,Site Nord 2,Site Nord 2-Ag2,Couverture,Tuiles,Tuiles,170.0,
ART93693,Ligne Basic,Nord,Site Nord 3,Site Nord 3-Ag3,Couverture,Étanchéité,Étanchéité,442.0,4122.98
ART27273,Ligne Basic,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,Couverture,,Étanchéité,,405.33
ART67868,Set Expert,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,,,Fenêtres,508.0,49951.45
ART46243,Cadre Alu,Nord,Site Nord 1,Site Nord 1-Ag3,Isolation,Panneaux,Panneaux,356.0,8888.61
ART89383,Bloc Confort,Ouest,Site Ouest 1,Site Ouest 1-Ag1,,Étanchéité,Étanchéité,394.0,6727.53
ART39772,Gamme Plus,,Site Nord 3,Site Nord 3-Ag3,Menuiserie,Fenêtres,Fenêtres,485.0,
ART82278,Kit Standard,Ouest,Site Ouest 2,Site Ouest 2-Ag3,Menuiserie,Volets,Volets,123000.0,3562.0
ART18248,Kit Standard,Ouest,Site Ouest 1,Site Ouest 1-Ag1,,Mesure,Mesure,338.0,9695.27
ART60630,Battant Pro,Est,Site Est 2,Site Est 2-Ag4,Menuiserie,,Fenêtres,31.0,2111.55
ART26150,Kit Standard,,Site Nord 3,Site Nord 3-Ag1,Plâtre,Plaques,Plaques,455.0,2354.72
ART87497,Ligne Basic,Nord,Site Nord 1,Site Nord 1-Ag2,Couverture,Étanchéité,Étanchéité,358.0,1154.41
ART72253,Cheneau Eco,Est,Site Est 2,Site Est 2-Ag3,Isolation,Laine,Laine,145.0,2071.51
ART48680,Set Expert,Est,Site Est 3,Site Est 3-Ag1,Plâtre,Profilés,Profilés,157.0,851.0
ART41150,Battant Pro,Est,Site Est 3,Site Est 3-Ag4,Couverture,Tuiles,Tuiles,545.0,8847.41
ART51996,Kit Standard,Est,Site Est 1,Site Est 1-Ag2,Couverture,Tuiles,Tuiles,121.0,1618.8
ART45853,Bloc Confort,Sud,Site Sud 2,Site Sud 2-Ag1,Menuiserie,Volets,Volets,,8695.53
ART93031,Bloc Confort,Nord,Site Nord 3,Site Nord 3-Ag4,,Électroportatif,Électroportatif,484.0,4049.92
ART31822,Cadre Alu,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Outillage,Manuel,Manuel,416.0,
ART58253,Gamme Plus,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Outillage,Manuel,Manuel,,6662.64
ART57714,Battant Pro,Est,Site Est 2,Site Est 2-Ag1,Outillage,Mesure,Mesure,629.0,14492.18
ART61250,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag2,Plâtre,,Profilés,143.0,
ART73365,Battant Pro,Nord,Site Nord 3,Site Nord 3-Ag3,Couverture,Zinguerie,Zinguerie,,7678.96
ART22946,Kit Standard,Nord,Site Nord 1,Site Nord 1-Ag4,Couverture,Tuiles,Tuiles,369.0,-2931.41
ART22891,Ligne Basic,Est,Site Est 3,Site Est 3-Ag3,Menuiserie,Volets,Volets,596.0,48448.6
ART50111,Ligne Basic,,Site Île-de-France 1,Site Île-de-France 1-Ag4,Couverture,Tuiles,Tuiles,442.0,
ART10662,Bloc Confort,,Site Nord 2,Site Nord 2-Ag1,,Panneaux,Panneaux,492.0,7167.65
ART85985,Battant Pro,Nord,Site Nord 2,Site Nord 2-Ag2,,Plaques,Plaques,538.0,5087.02
ART59237,Cadre Alu,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag4,Isolation,Laine,Laine,,20932.67
ART53865,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Couverture,Tuiles,Tuiles,492.0,5935.39
ART38922,Ligne Basic,,Site Ouest 1,Site Ouest 1-Ag4,Isolation,Panneaux,Panneaux,101.0,1354.9
ART67648,Kit Standard,Nord,Site Nord 1,Site Nord 1-Ag3,Outillage,Manuel,Manuel,,2550.41
ART74919,Kit Standard,Ouest,Site Ouest 1,Site Ouest 1-Ag3,,,Volets,,58416.39
ART24372,Kit Standard,Ouest,Site Ouest 1,Site Ouest 1-Ag1,Plâtre,Enduits,Enduits,118.0,2337.31
ART10400,Set Expert,Nord,Site Nord 1,Site Nord 1-Ag2,Menuiserie,Portes,Portes,275.0,22241.98
ART55642,Cadre Alu,Est,Site Est 1,Site Est 1-Ag1,Plâtre,Plaques,Plaques,484.0,8118.93
ART41401,Gamme Plus,Sud,Site Sud 2,Site Sud 2-Ag2,Couverture,Zinguerie,Zinguerie,266.0,6036.26
ART13457,Set Expert,Est,Site Est 3,Site Est 3-Ag2,Outillage,Manuel,Manuel,655.0,12153.15
