code_article,libelle,region,site,agence,famille,sous_famille,sous_famille_base,quantite,CA
ART57382,Ligne Basic,Nord,Site Nord 1,Site Nord 1-Ag1,Isolation,Panneaux,Panneaux,307,7413.99
ART26429,Ligne Basic,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Isolation,Vrac,Vrac,550,2452.52
ART89909,Battant Pro,Ouest,Site Ouest 1,Site Ouest 1-Ag3,Isolation,Panneaux,Panneaux,576,5947.32
ART50111,Ligne Basic,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Couverture,Tuiles,Tuiles,442,8353.37
ART76903,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag1,Isolation,Vrac,Vrac,137,1784.86
ART81610,Cheneau Eco,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag2,Isolation,Panneaux,Panneaux,677,7011.85
ART24461,Gamme Plus,Est,Site Est 3,Site Est 3-Ag2,Menuiserie,Fenêtres,Fenêtres,333,13365.93
ART90826,Cadre Alu,Ouest,Site Ouest 3,Site Ouest 3-Ag2,Isolation,Laine,Laine,219,4569.82
ART80232,Set Expert,Sud,Site Sud 3,Site Sud 3-Ag4,Isolation,Panneaux,Panneaux,98,706.6
ART32093,Battant Pro,Est,Site Est 1,Site Est 1-Ag1,Isolation,Laine,Laine,546,5825.16
ART60883,Bloc Confort,Est,Site Est 2,Site Est 2-Ag3,Isolation,Panneaux,Panneaux,330,4388.05
ART34889,Kit Standard,Nord,Site Nord 3,Site Nord 3-Ag1,Plâtre,Profilés,Profilés,213,730.91
ART49088,Set Expert,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag2,Couverture,Tuiles,Tuiles,164,675.71
ART38909,Cheneau Eco,Nord,Site Nord 2,Site Nord 2-Ag4,Plâtre,Enduits,Enduits,548,10275.84
ART91055,Bloc Confort,Sud,Site Sud 3,Site Sud 3-Ag1,Menuiserie,Volets,Volets,63,4961.47
ART71532,Set Expert,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag2,Menuiserie,Portes,Portes,487,31091.5
ART54555,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag4,Outillage,Mesure,Mesure,62,678.52
ART76322,Cadre Alu,Est,Site Est 3,Site Est 3-Ag2,Outillage,Mesure,Mesure,678,30898.21
ART82778,Bloc Confort,Nord,Site Nord 3,Site Nord 3-Ag2,Menuiserie,Portes,Portes,631,24771.76
ART37779,Set Expert,Est,Site Est 2,Site Est 2-Ag2,Menuiserie,Portes,Portes,599,37695.13
ART26150,Kit Standard,Nord,Site Nord 3,Site Nord 3-Ag1,Plâtre,Plaques,Plaques,455,2354.72
ART36999,Ligne Basic,Nord,Site Nord 3,Site Nord 3-Ag1,Outillage,Manuel,Manuel,102,1045.48
ART47633,Kit Standard,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Plâtre,Enduits,Enduits,243,5176.39
ART24491,Bloc Confort,Est,Site Est 2,Site Est 2-Ag4,Isolation,Laine,Laine,58,1031.37
ART35610,Battant Pro,Est,Site Est 3,Site Est 3-Ag2,Plâtre,Profilés,Profilés,187,1874.68
ART69938,Set Expert,Sud,Site Sud 1,Site Sud 1-Ag1,Couverture,Tuiles,Tuiles,627,2633.48
ART65317,Ligne Basic,Nord,Site Nord 1,Site Nord 1-Ag1,Outillage,Électroportatif,Électroportatif,461,19225.08
ART51402,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Outillage,Électroportatif,Électroportatif,27,1456.65
ART99223,Ligne Basic,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag2,Outillage,Électroportatif,Électroportatif,667,16939.6
ART18183,Set Expert,Nord,Site Nord 1,Site Nord 1-Ag4,Menuiserie,Portes,Portes,32,1336.82
ART40202,Set Expert,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag4,Couverture,Tuiles,Tuiles,625,11334.08
ART95294,Cheneau Eco,Est,Site Est 1,Site Est 1-Ag4,Outillage,Mesure,Mesure,67,2729.65
ART74792,Gamme Plus,Nord,Site Nord 2,Site Nord 2-Ag3,Menuiserie,Volets,Volets,581,18571.8
ART49032,Cheneau Eco,Nord,Site Nord 2,Site Nord 2-Ag3,Menuiserie,Volets,Volets,217,14957.54
ART36687,Bloc Confort,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag1,Menuiserie,Volets,Volets,161,7111.86
ART17594,Set Expert,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag3,Isolation,Vrac,Vrac,407,3245.11
ART21899,Kit Standard,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag2,Menuiserie,Portes,Portes,87,8257.75
ART63723,Bloc Confort,Est,Site Est 2,Site Est 2-Ag1,Isolation,Laine,Laine,668,4923.4
ART24937,Bloc Confort,Nord,Site Nord 1,Site Nord 1-Ag4,Isolation,Vrac,Vrac,75,425.68
ART69719,Battant Pro,Nord,Site Nord 3,Site Nord 3-Ag1,Couverture,Étanchéité,Étanchéité,563,5764.27
ART93989,Gamme Plus,Sud,Site Sud 3,Site Sud 3-Ag3,Couverture,Tuiles,Tuiles,557,3751.98
ART96634,Gamme Plus,Ouest,Site Ouest 1,Site Ouest 1-Ag3,Isolation,Laine,Laine,289,3503.23
ART96321,Battant Pro,Sud,Site Sud 3,Site Sud 3-Ag4,Plâtre,Enduits,Enduits,174,1357.25
ART93101,Cheneau Eco,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag2,Menuiserie,Portes,Portes,416,21689.04
ART58625,Battant Pro,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag1,Couverture,Zinguerie,Zinguerie,116,1068.98
ART82278,Kit Standard,Ouest,Site Ouest 2,Site Ouest 2-Ag3,Menuiserie,Volets,Volets,123,3562.0
ART54377,Cheneau Eco,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag1,Outillage,Mesure,Mesure,353,18557.16
ART10636,Cadre Alu,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,Outillage,Électroportatif,Électroportatif,175,7741.61
ART72043,Battant Pro,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag4,Plâtre,Profilés,Profilés,72,2215.49
ART66503,Set Expert,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag4,Couverture,Étanchéité,Étanchéité,631,15537.31
ART85032,Kit Standard,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Isolation,Vrac,Vrac,95,1344.25
ART24860,Kit Standard,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Outillage,Mesure,Mesure,448,8247.62
ART26462,Set Expert,Ouest,Site Ouest 2,Site Ouest 2-Ag2,Outillage,Manuel,Manuel,257,5854.13
ART51444,Bloc Confort,Sud,Site Sud 3,Site Sud 3-Ag2,Outillage,Mesure,Mesure,664,43575.05
ART16521,Cadre Alu,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag3,Couverture,Zinguerie,Zinguerie,457,9688.85
ART67259,Battant Pro,Nord,Site Nord 3,Site Nord 3-Ag3,Isolation,Laine,Laine,142,2426.21
ART25245,Gamme Plus,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Isolation,Panneaux,Panneaux,60,1329.36
ART74966,Bloc Confort,Est,Site Est 1,Site Est 1-Ag2,Plâtre,Enduits,Enduits,548,10120.17
ART52833,Kit Standard,Nord,Site Nord 1,Site Nord 1-Ag3,Menuiserie,Portes,Portes,431,17724.42
ART22522,Ligne Basic,Ouest,Site Ouest 1,Site Ouest 1-Ag3,Plâtre,Profilés,Profilés,534,14988.42
ART92945,Gamme Plus,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag2,Menuiserie,Fenêtres,Fenêtres,82,3187.91
ART81569,Cadre Alu,Sud,Site Sud 2,Site Sud 2-Ag2,Isolation,Vrac,Vrac,234,5611.81
ART76373,Kit Standard,Est,Site Est 2,Site Est 2-Ag2,Outillage,Électroportatif,Électroportatif,111,1755.17
ART22593,Kit Standard,Nord,Site Nord 2,Site Nord 2-Ag2,Isolation,Laine,Laine,387,9113.79
ART89013,Set Expert,Ouest,Site Ouest 1,Site Ouest 1-Ag4,Couverture,Tuiles,Tuiles,502,11105.32
ART75031,Gamme Plus,Nord,Site Nord 1,Site Nord 1-Ag2,Menuiserie,Portes,Portes,412,28263.53
ART76439,Gamme Plus,Est,Site Est 2,Site Est 2-Ag4,Outillage,Mesure,Mesure,321,9062.56
ART13889,Battant Pro,Est,Site Est 3,Site Est 3-Ag4,Menuiserie,Portes,Portes,697,48948.85
ART87709,Battant Pro,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Couverture,Tuiles,Tuiles,466,7559.2
ART36001,Set Expert,Sud,Site Sud 1,Site Sud 1-Ag4,Outillage,Manuel,Manuel,100,5098.58
ART96685,Cheneau Eco,Île-de-France,Site Île-de-France 3,Site Île-de-France 3-Ag4,Menuiserie,Volets,Volets,4,95.42
ART86150,Set Expert,Sud,Site Sud 1,Site Sud 1-Ag4,Couverture,Tuiles,Tuiles,41,737.4
ART17742,Gamme Plus,Île-de-France,Site Île-de-France 2,Site Île-de-France 2-Ag3,Couverture,Zinguerie,Zinguerie,29,256.91
ART57029,Ligne Basic,Est,Site Est 1,Site Est 1-Ag3,Menuiserie,Fenêtres,Fenêtres,514,16802.04
ART51303,Set Expert,Ouest,Site Ouest 1,Site Ouest 1-Ag4,Isolation,Panneaux,Panneaux,39,649.57
ART58870,Gamme Plus,Est,Site Est 2,Site Est 2-Ag2,Menuiserie,Portes,Portes,65,1854.03
ART47652,Bloc Confort,Sud,Site Sud 2,Site Sud 2-Ag2,Isolation,Vrac,Vrac,401,2825.33
ART72178,Kit Standard,Est,Site Est 2,Site Est 2-Ag3,Isolation,Laine,Laine,454,10452.1
ART65322,Kit Standard,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag2,Plâtre,Plaques,Plaques,84,669.55
ART95421,Bloc Confort,Ouest,Site Ouest 3,Site Ouest 3-Ag1,Isolation,Panneaux,Panneaux,444,4342.42
ART18571,Bloc Confort,Ouest,Site Ouest 1,Site Ouest 1-Ag1,Outillage,Mesure,Mesure,26,881.88
ART32165,Gamme Plus,Sud,Site Sud 2,Site Sud 2-Ag2,Plâtre,Enduits,Enduits,491,10215.91
ART82746,Set Expert,Sud,Site Sud 3,Site Sud 3-Ag3,Plâtre,Plaques,Plaques,302,8251.58
ART32132,Cadre Alu,Est,Site Est 1,Site Est 1-Ag4,Couverture,Tuiles,Tuiles,644,7115.36
ART83968,Battant Pro,Est,Site Est 3,Site Est 3-Ag4,Couverture,Zinguerie,Zinguerie,346,1531.71
ART91250,Battant Pro,Nord,Site Nord 1,Site Nord 1-Ag3,Outillage,Manuel,Manuel,234,4175.16
ART70160,Battant Pro,Est,Site Est 1,Site Est 1-Ag3,Couverture,Étanchéité,Étanchéité,599,6020.35
ART79353,Set Expert,Est,Site Est 2,Site Est 2-Ag2,Outillage,Manuel,Manuel,670,35973.55
ART78086,Bloc Confort,Nord,Site Nord 3,Site Nord 3-Ag1,Isolation,Vrac,Vrac,272,4406.52
ART28043,Gamme Plus,Est,Site Est 3,Site Est 3-Ag3,Menuiserie,Fenêtres,Fenêtres,116,10538.66
ART85190,Gamme Plus,Île-de-France,Site Île-de-France 1,Site Île-de-France 1-Ag1,Couverture,Zinguerie,Zinguerie,99,1241.02
ART94664,Battant Pro,Nord,Site Nord 1,Site Nord 1-Ag4,Plâtre,Enduits,Enduits,329,1895.94
ART11251,Battant Pro,Ouest,Site Ouest 3,Site Ouest 3-Ag2,Outillage,Électroportatif,Électroportatif,205,7085.66
ART81499,Gamme Plus,Sud,Site Sud 2,Site Sud 2-Ag3,Outillage,Mesure,Mesure,590,22234.09
ART39799,Kit Standard,Ouest,Site Ouest 3,Site Ouest 3-Ag4,Menuiserie,Fenêtres,Fenêtres,257,16123.71
